S.No,Crop Name,Soil Type,Growth Duration (Days),Season,N-P-K Ratio,Urea (kg/ha),DAP (kg/ha),MOP (kg/ha),Fertilizer Schedule,Water Requirement,Cultivation Tips,Harvesting Tips
1,Carrot,Sandy Soil,90-120,Rabi,60-30-30,90,45,45,Basal + Top Dressing (30 DAS),High,Needs frequent irrigation; mulching reduces moisture loss,Harvest when roots reach 2-3 cm diameter
2,Carrot,Sandy Loam,90-120,Rabi,60-30-30,90,45,45,Basal + Top Dressing (30 DAS),Moderate,Best soil for carrots; loose soil gives uniform roots,Harvest when roots are smooth & marketable
3,Carrot,Loam,90-120,Rabi,60-30-30,90,45,45,Basal + Top Dressing (30 DAS),Moderate,Loam supports balanced growth and root shape,Harvest at full maturity with uniform color
4,Carrot,Clay Loam,100-125,Rabi,60-30-30,90,45,45,Basal + Top Dressing (30 DAS),Moderate to High,Soil compaction may affect root size; do deep ploughing,Harvest carefully to avoid root breakage
5,Carrot,Clay,110-130,Rabi,60-30-30,90,45,45,Basal + Top Dressing (30 DAS),High,Heavy soils may cause forked roots; use raised beds,Harvest when soil is moist for easy pulling
6,Carrot,Red Soil,90-110,Rabi,60-30-30,90,45,45,Basal + Top Dressing (30 DAS),Moderate,Responds well to organic manure in red soils,Harvest when tops start yellowing slightly
7,Carrot,Black Soil,100-120,Rabi,60-30-30,90,45,45,Basal + Top Dressing (30 DAS),High,Retains moisture well; requires drainage,Harvest in early morning for better root quality
8,Carrot,Laterite Soil,90-110,Rabi,60-30-30,90,45,45,Basal + Top Dressing (30 DAS),Low to Moderate,Add compost to improve fertility in laterites,Harvest when roots develop bright orange color
9,Radish,Sandy Soil,45-55,Rabi/Kharif,50-25-25,75,40,40,Basal + Light Top Dressing (20 DAS),High,Frequent irrigation needed; prevents pithiness,Harvest when roots are tender & white
10,Radish,Sandy Loam,45-55,Rabi/Kharif,50-25-25,75,40,40,Basal + Light Top Dressing (20 DAS),Moderate,Ideal soil for radish; gives straight roots,Harvest at 30–45 days for best taste
11,Radish,Loam,50-60,Rabi/Kharif,50-25-25,75,40,40,Basal + Light Top Dressing (20 DAS),Moderate,Loam maintains uniform growth,Harvest before roots turn fibrous
12,Radish,Clay Loam,55-65,Rabi/Kharif,50-25-25,75,40,40,Basal + Light Top Dressing (20 DAS),Moderate to High,Compaction may cause misshaped roots; deep tillage helps,Harvest while roots are still crisp
13,Radish,Clay,60-70,Rabi/Kharif,50-25-25,75,40,40,Basal + Light Top Dressing (20 DAS),High,Heavy soils delay maturity; use raised beds,Harvest with care to avoid breaking roots
14,Radish,Red Soil,45-55,Rabi/Kharif,50-25-25,75,40,40,Basal + Light Top Dressing (20 DAS),Moderate,Responds well to FYM/organic manures,Harvest when tops start wilting slightly
15,Radish,Black Soil,55-65,Rabi/Kharif,50-25-25,75,40,40,Basal + Light Top Dressing (20 DAS),High,Holds moisture well; ensure drainage to avoid cracking,Harvest early morning to maintain crispness
16,Radish,Laterite Soil,50-60,Rabi/Kharif,50-25-25,75,40,40,Basal + Light Top Dressing (20 DAS),Low to Moderate,Laterites need organic matter for better root growth,Harvest when roots are smooth & tender
